#ID,StaID,year,Jan,Feb,Mar,Api,May,Jun,July,Aug,Sep,Oct,Nov,Dec
3,148,1985,250.354657805,276.540787716,232.478227243,230.051505395,242.400439735,222.5589154,225.615834875,238.489342048,251.143023799,260.775290821,269.810196631,242.603551575,
4,148,1986,230.788018131,222.404178694,205.3283473,219.638877375,239.779102229,210.460644966,201.011424192,231.879047316,249.374663092,262.460521702,267.566308627,230.586499325,
5,148,1987,256.089381205,230.686149294,209.793024314,215.744944629,234.519302101,225.938636672,212.308823315,236.615934022,257.361299405,258.18203054,226.335972549,245.268697516,
26,99,1985,169.808268273,162.322302645,190.969734147,204.889506248,213.193952851,236.019774222,233.560096482,242.496021777,219.782502668,196.72755654,182.445687802,159.180540833,
27,99,1986,147.180812829,183.962880617,167.143321461,196.164578312,232.309564764,226.74627174,249.003964072,231.371665976,214.713640945,172.887802194,173.852244912,150.768126348,
28,99,1987,156.479551625,160.811459209,187.278873415,194.481610867,224.5112649,246.016958878,239.500719531,214.623700899,198.711972488,193.381587677,182.995908483,185.681259406,
47,109,1983,248.813795634,252.888029963,273.472568604,227.919348816,215.727673485,218.268469846,229.586472209,233.410948671,254.079317409,237.387759012,208.124984926,226.027634173,
48,109,1984,282.267311257,304.821590134,273.244963866,214.252723097,229.820449083,225.488007169,220.760665392,250.554981835,259.714861165,228.696563571,205.382317965,216.506667129,
49,109,1985,238.923244693,286.081390327,235.123062001,221.156408235,233.591160646,231.677886943,223.54708105,245.328237164,261.854631119,246.019414806,202.119472291,211.963732317,
50,109,1986,275.211962642,298.275283578,239.425448673,218.928364282,209.058237365,234.430019181,236.082466749,243.003203988,256.300776821,234.16704245,201.286733661,201.386782836,
51,109,1987,248.968120806,292.728836888,280.866636081,236.416081264,214.694790042,238.014066981,228.006381575,216.348956759,273.766065212,275.728703057,250.553295874,241.209646793,
52,109,1988,261.739076413,290.641980448,272.275602655,240.037990173,261.825896768,213.923496063,246.455109615,244.126093854,261.694956008,262.006307872,213.823493352,210.291245709,
53,109,1989,256.338491902,273.224780694,250.928150058,210.644600571,232.928657616,230.420651207,240.289470508,253.426226555,263.3011724,253.075958197,203.575684616,220.083426798,
54,109,1990,249.013920535,253.856530651,218.085562988,219.246891437,235.322987772,242.659666198,241.326933924,254.409128556,270.499309966,255.210424676,225.94604428,226.655488713,
55,109,1991,253.509661713,301.635163041,280.74138378,258.971836902,218.541170722,239.963296789,222.237009685,257.414984652,283.325377913,279.47790866,224.108751663,240.565264526,
56,109,1992,274.654599858,308.148840847,280.22583814,226.113950067,229.200758843,242.349369719,233.415528644,256.618666763,260.585049369,268.891799234,215.907294711,203.005902805,
57,109,1993,222.330401305,270.34022276,275.702417995,227.581479572,224.6984464,229.703553573,242.654528664,246.876865376,257.047916422,258.963612864,220.923891642,204.811806013,
58,109,1994,269.201246095,303.307606979,273.833191684,233.779795789,227.909405628,240.240670566,230.530145746,250.115503571,252.61672631,238.307736168,198.252083475,216.028756918,
70,140,1983,243.491867179,264.413033824,258.579492532,247.393127881,221.622895064,202.163094873,203.530210132,196.163224233,231.44537035,218.961333449,221.732555545,225.683140563,
71,140,1984,247.141309026,290.697324648,271.594779734,232.907961449,215.016383788,195.602011617,194.570588456,225.851803042,243.356392909,254.147472715,233.551394534,241.156280153,
72,140,1985,256.889084291,226.766951313,260.133098976,219.935387472,225.050506922,197.83869778,189.796464579,217.474435306,234.705335288,249.659099319,225.051164048,243.968184356,
73,140,1986,233.632380402,270.758443977,268.568214195,207.154999777,215.35530178,195.163522361,194.817508731,226.444411703,233.754897994,231.036929699,222.553153927,227.806256674,
74,140,1987,238.705397289,251.945985019,246.296801857,224.725640818,184.084043656,197.233331571,215.398711957,218.724170507,235.16666467,263.702092604,229.529886313,263.645340766,
75,140,1988,248.362369614,284.534322288,250.302884199,232.400334516,209.900155853,220.619562403,207.221070863,224.536554316,229.671659704,234.183570178,216.586325468,241.47747564,
76,140,1989,215.398114569,249.501253826,216.237444377,233.501393178,196.22535256,203.36189281,188.733711748,215.207946131,247.64313466,249.174418714,226.572810246,209.675538054,
77,140,1990,259.964834756,214.429976581,216.674931349,211.485158342,208.259131667,216.770281074,199.587650022,223.770902332,246.19721068,264.171639386,267.305601969,255.329902228,
78,140,1991,256.158279927,288.847999736,289.853140206,254.037958263,223.917262334,211.274864574,191.592809584,201.267106154,262.072126729,250.031072767,264.410667505,254.115612034,
79,140,1992,258.080872879,278.151646027,286.659903482,253.956886106,239.03635011,196.620557754,188.242260748,208.616767808,247.376254995,238.659995819,254.845387564,240.441007871,
80,140,1993,223.18128061,258.712041498,288.467997112,248.122983062,220.397652761,201.440235766,194.709580675,232.315737771,251.922263035,261.859549612,248.707566814,254.630162028,
93,154,1983,249.539820896,257.385065481,267.597857338,204.592996151,191.579866183,196.375695147,201.444132062,206.697360924,231.559570978,236.008390666,228.127584915,233.969904488,
94,154,1984,271.617082211,304.281132738,255.835093147,205.012966386,200.600222281,191.89121141,188.234295578,222.439125878,243.481293415,224.229098747,215.102951913,220.196930473,
95,154,1985,235.049583306,264.82927086,240.848625455,216.430971462,196.043945809,201.880371157,199.452242129,220.435089061,238.944750653,233.50453942,216.419654282,225.911740947,
96,154,1986,258.272435222,297.290909443,247.657452053,198.315048145,187.726117721,214.313630099,212.000571229,229.654972673,236.584810119,230.39035701,217.799527089,211.209629831,
97,154,1987,245.347552701,284.374994851,276.691293873,234.95781127,183.005559614,210.881849802,206.388909709,190.314200641,247.088592874,251.474560732,255.849530018,246.174735624,
